Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Option1 Linked To,Option2 Linked To,Option3 Linked To,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Date DPA (product.metafields.custom.date_dpa),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Forme de l'ustensile de cuisson (product.metafields.shopify.bakeware-shape),Taille des draps (product.metafields.shopify.bedding-size),Matériau de la lame (product.metafields.shopify.blade-material),Instructions de nettoyage (product.metafields.shopify.cleaning-instructions),Torréfaction du café (product.metafields.shopify.coffee-roast),Couleur (product.metafields.shopify.color-pattern),Matériau des ustensiles de cuisson (product.metafields.shopify.cookware-bakeware-material),Pays (product.metafields.shopify.country),Saveur (product.metafields.shopify.flavor),Matériau du manche (product.metafields.shopify.handle-material),Google Category Confidence,Google Category Needs Review,Google Category Rationale
ar00058,"Bougie 180 g - Pomme, thé noir & noix - Cirerie de Gascogne","<p>Une signature olfactive chaleureuse, pensée pour créer une atmosphère douce et réconfortante. Les accents de <em>pomme croquante</em> s’entrelacent à l’élégance du <em>thé noir</em>, puis s’arrondissent sur une note de <em>noix</em> subtilement boisée.</p><p>Cette bougie trouve naturellement sa place dans un salon, une entrée ou une chambre, pour accompagner une fin de journée, une lecture ou un moment de calme.</p><p><strong>Points clés :</strong></p><ul><li><strong>Parfum équilibré</strong> : fruité, théiné et boisé, sans lourdeur</li><li><strong>Format 180 g</strong> : idéal au quotidien comme en cadeau</li><li><strong>Ambiance cocooning</strong> : parfaite en automne/hiver, agréable toute l’année</li><li><strong>Diffusion homogène</strong> : pour une pièce rapidement enveloppée</li><li><strong>Objet décoratif</strong> : sobre et facile à intégrer</li></ul><p>Chez La Gustothèque, nous sélectionnons ce type de création pour sa justesse et son plaisir d’usage, tout simplement.</p><h3>Le conseil de La Gustothèque</h3><p>Lors des premières utilisations, laissez la cire fondre jusqu’aux bords pour une combustion régulière. Coupez la mèche à environ 5 mm avant chaque allumage.</p>",CIRERIE DE GASCOGNE,Uncategorized,BOUGIE,"bougie parfumee, bougie 180 g, maison, ambiance cocooning, pomme, the noir, noix, idee cadeau, Lagustothèque",true,Title,Default Title,,,,,AR00058,0.0,shopify,deny,manual,26.00,,true,true,'3770014762498,https://cdn.shopify.com/s/files/1/0354/5789/2485/files/Captured_ecran2025-10-11a11.32.56.png?v=1760175206,1,"Bougie parfumée 180 g pomme, thé noir et noix sur fond clair",false,"Bougie parfumée pomme, thé noir & noix 180 g – Gascogne","Bougie 180 g aux notes de pomme croquante, thé noir élégant et noix boisée. Une ambiance chaleureuse et gourmande pour le salon ou la chambre. Une sélection exigeante de La Gustothèque, idéale à offrir ou à s’offrir.",588,,,,,,,kg,,11.60,active,,,,,,,,,,,,,,,,,,,,,,,,,0.98,False,"Correspondance directe, très spécifique"
376016627134400,Infusion - Douceur des cimes x25 berlingots - Compagnie & Co,"<p>Une infusion douce et réconfortante, parfaite pour les moments cocooning ou les soirées d’hiver. La tasse est ronde, délicatement fruitée, avec une touche épicée qui apporte du relief sans dominer.</p><p>À déguster chaude au calme, ou légèrement infusée puis refroidie pour une version plus légère.</p><p><strong>Caractéristiques :</strong></p><ul><li><strong>Format</strong> : 25 berlingots, pratique au quotidien</li><li><strong>Profil aromatique</strong> : verveine, mélisse, orange, pomme</li><li><strong>Notes gourmandes</strong> : cannelle et amande</li><li><strong>Nuance florale</strong> : pétales de pivoine</li><li><strong>Moment idéal</strong> : après le repas, en fin de journée, ou lors d’une pause lecture</li></ul><p>Cette référence a été retenue par La Gustothèque pour son équilibre et sa sensation de confort immédiat, sans excès de sucre ni d’arômes envahissants.</p><h3>Le conseil de La Gustothèque</h3><p>Laissez infuser 5 à 7 minutes pour gagner en douceur, puis ajoutez une fine tranche de pomme fraîche pour accentuer le côté fruité.</p>",COMPAGNIE COLONIALE,"Food, Beverages & Tobacco > Beverages > Tea & Infusions > Infusions",Thé,"infusion, tisane, berlingots, verveine, melisse, cannelle, pomme, orange, cocooning, Lagustothèque",true,Title,Default Title,,,,,,0.0,shopify,deny,manual,10.00,,true,true,'3760166271344,https://cdn.shopify.com/s/files/1/0354/5789/2485/files/douceur-des-cimes_1.png?v=1765271775,1,"Boîte Douceur des cimes x25 berlingots, infusion aux notes fruitées et épicées",false,Infusion Douceur des cimes x25 berlingots – Compagnie & Co,"Infusion en 25 berlingots aux plantes et fruits : verveine, mélisse, orange et pomme, relevées de cannelle, amande et pétales de pivoine. Une tasse douce et réconfortante, sélectionnée par La Gustothèque pour vos moments cocooning.",2073,,,,,,,kg,,5.00,active,,,,,,,,,,,,,,,,,,,,,,,,,0.99,False,Règle: INFUSIONS (utilisée 1 fois)
376016627134400,Infusion - Douceur des cimes x25 berlingots - Compagnie & Co,"<p>Une infusion douce et réconfortante, parfaite pour les moments cocooning ou les soirées d’hiver. La tasse est ronde, délicatement fruitée, avec une touche épicée qui apporte du relief sans dominer.</p><p>À déguster chaude au calme, ou légèrement infusée puis refroidie pour une version plus légère.</p><p><strong>Caractéristiques :</strong></p><ul><li><strong>Format</strong> : 25 berlingots, pratique au quotidien</li><li><strong>Profil aromatique</strong> : verveine, mélisse, orange, pomme</li><li><strong>Notes gourmandes</strong> : cannelle et amande</li><li><strong>Nuance florale</strong> : pétales de pivoine</li><li><strong>Moment idéal</strong> : après le repas, en fin de journée, ou lors d’une pause lecture</li></ul><p>Cette référence a été retenue par La Gustothèque pour son équilibre et sa sensation de confort immédiat, sans excès de sucre ni d’arômes envahissants.</p><h3>Le conseil de La Gustothèque</h3><p>Laissez infuser 5 à 7 minutes pour gagner en douceur, puis ajoutez une fine tranche de pomme fraîche pour accentuer le côté fruité.</p>",,,,"infusion, tisane, berlingots, verveine, melisse, cannelle, pomme, orange, cocooning, Lagustothèque",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0354/5789/2485/files/douceur-des-cimes_2.png?v=1765271776,2,"Boîte Douceur des cimes x25 berlingots, infusion aux notes fruitées et épicées",,Infusion Douceur des cimes x25 berlingots – Compagnie & Co,"Infusion en 25 berlingots aux plantes et fruits : verveine, mélisse, orange et pomme, relevées de cannelle, amande et pétales de pivoine. Une tasse douce et réconfortante, sélectionnée par La Gustothèque pour vos moments cocooning.",2073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,False,Règle: INFUSIONS (utilisée 1 fois)
376016626622700,Calendrier de Noël 2025 - Thés & infusions - Compagnie Coloniale,"<p>Attendre les fêtes devient un vrai rituel avec ce calendrier de Noël dédié au thé. Chaque jour apporte une nouvelle tasse à découvrir, pour varier les plaisirs et installer une parenthèse chaleureuse au cœur de l’hiver.</p><p>Conçu pour les amateurs comme pour les curieux, il accompagne les matins pressés, les après-midis au bureau et les soirées au calme, avec une sélection pensée pour explorer différents profils aromatiques.</p><p><strong>Points clés :</strong></p><ul><li><strong>Rituel de décembre</strong> : une découverte quotidienne, simple et agréable</li><li><strong>Variété</strong> : alternance de styles (notes gourmandes, fruitées, épicées…)</li><li><strong>Idée cadeau</strong> : une attention raffinée, facile à offrir</li><li><strong>Pratique</strong> : portions individuelles, parfaites pour tester sans se tromper</li><li><strong>Moment de partage</strong> : idéal en famille ou entre collègues</li></ul><p>Chez La Gustothèque, nous aimons ces formats qui donnent du sens au quotidien : un pas de côté, une tasse, et le temps ralentit.</p><h3>Le conseil de La Gustothèque</h3><p>Préparez deux tasses lorsque la recette vous plaît : l’une pour la dégustation, l’autre pour noter vos préférences et retrouver ensuite vos favoris.</p>",COMPAGNIE COLONIALE,Uncategorized,Thé,"calendrier, calendrier de noel, the, infusions, idee cadeau, decembre, degustation, coffret, Lagustothèque",false,Title,Default Title,,,,,,0.0,shopify,deny,manual,29.90,,true,true,'3760166266227,,,"Calendrier de Noël 2025 thés et infusions, coffret dégustation pour décembre",false,Calendrier de Noël 2025 thés & infusions – Compagnie Coloniale,"Calendrier de Noël 2025 autour du thé : une découverte progressive de recettes chaudes et parfumées, à partager ou à offrir. Une idée cadeau élégante sélectionnée par La Gustothèque pour attendre les fêtes avec douceur et curiosité.",5359,,,,,,,kg,,14.80,active,,,,,,,,,,,,,,,,,,,,,,,,,0.99,False,Correspondance exacte
laponiedamman,Thé de Noël en sachets - Noël en Laponie - Dammann,"<p>Un thé en sachets qui évoque instantanément l’hiver et les lumières de fin d’année. Le profil est chaleureux, enveloppant, idéal pour accompagner un goûter, un retour de promenade ou un moment au coin du feu.</p><p>Facile à préparer, il permet de retrouver la même tasse parfumée au bureau comme à la maison, sans compromis sur l’élégance aromatique.</p><p><strong>Points clés :</strong></p><ul><li><strong>Format sachets</strong> : rapide, propre et constant</li><li><strong>Esprit fêtes</strong> : une tasse qui installe une ambiance de saison</li><li><strong>Accord gourmand</strong> : parfait avec sablés, pain d’épices, chocolat</li><li><strong>Polyvalent</strong> : agréable nature, ou avec un nuage de lait</li><li><strong>À offrir</strong> : une attention simple et raffinée</li></ul><p>La Gustothèque le retient pour sa capacité à transformer un moment ordinaire en pause chaleureuse, sans en faire trop.</p><h3>Le conseil de La Gustothèque</h3><p>Infusez 3 à 5 minutes selon l’intensité souhaitée. Essayez-le avec une fine tranche d’orange pour accentuer la sensation de fêtes.</p>",DAMMANN,"Food, Beverages & Tobacco > Beverages > Tea & Infusions > Tea",Thé,"the, the de noel, sachets, hiver, epices, gourmand, idee cadeau, pause cocooning, Lagustothèque",true,Title,Default Title,,,,,'8772,0.0,shopify,deny,manual,13.00,,true,true,'3259920087722,https://cdn.shopify.com/s/files/1/0354/5789/2485/files/Captured_ecran2025-12-09a10.51.45.png?v=1765273978,1,"Boîte de thé Noël en Laponie en sachets, ambiance hivernale et festive",false,Thé de Noël “Noël en Laponie” en sachets – Dammann,"Thé de Noël en sachets aux accents chaleureux et épicés, pensé pour les journées froides et les goûters d’hiver. Une tasse parfumée, facile à préparer, sélectionnée par La Gustothèque pour créer une ambiance de fêtes à la maison.",652,,,,,,,kg,,4.64,active,,,,,,,,,,,,,,,,,,,,,,,,,0.6,True,"JSON partiellement réparé, confidence/rationale manquants"
laponiedamman,Thé de Noël en sachets - Noël en Laponie - Dammann,"<p>Un thé en sachets qui évoque instantanément l’hiver et les lumières de fin d’année. Le profil est chaleureux, enveloppant, idéal pour accompagner un goûter, un retour de promenade ou un moment au coin du feu.</p><p>Facile à préparer, il permet de retrouver la même tasse parfumée au bureau comme à la maison, sans compromis sur l’élégance aromatique.</p><p><strong>Points clés :</strong></p><ul><li><strong>Format sachets</strong> : rapide, propre et constant</li><li><strong>Esprit fêtes</strong> : une tasse qui installe une ambiance de saison</li><li><strong>Accord gourmand</strong> : parfait avec sablés, pain d’épices, chocolat</li><li><strong>Polyvalent</strong> : agréable nature, ou avec un nuage de lait</li><li><strong>À offrir</strong> : une attention simple et raffinée</li></ul><p>La Gustothèque le retient pour sa capacité à transformer un moment ordinaire en pause chaleureuse, sans en faire trop.</p><h3>Le conseil de La Gustothèque</h3><p>Infusez 3 à 5 minutes selon l’intensité souhaitée. Essayez-le avec une fine tranche d’orange pour accentuer la sensation de fêtes.</p>",,,,"the, the de noel, sachets, hiver, epices, gourmand, idee cadeau, pause cocooning, Lagustothèque",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0354/5789/2485/files/Captured_ecran2025-12-09a10.51.56.png?v=1765273978,2,"Boîte de thé Noël en Laponie en sachets, ambiance hivernale et festive",,Thé de Noël “Noël en Laponie” en sachets – Dammann,"Thé de Noël en sachets aux accents chaleureux et épicés, pensé pour les journées froides et les goûters d’hiver. Une tasse parfumée, facile à préparer, sélectionnée par La Gustothèque pour créer une ambiance de fêtes à la maison.",652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,True,"JSON partiellement réparé, confidence/rationale manquants"
dreamdamman,Coffret d'infusions - Dreams 20 sachets - Dammann,"<p>Un coffret élégant réunissant 20 sachets d’infusions, idéal pour découvrir une sélection variée de saveurs douces, fruitées ou apaisantes. Une belle option pour varier les moments de la journée, du réveil au soir.</p><p><strong>Contenu :</strong><br>5 infusions, 4 sachets chacune, pour explorer plusieurs univers sans multiplier les boîtes.</p><p><strong>Points clés :</strong></p><ul><li><strong>Découverte guidée</strong> : plusieurs recettes pour trouver ses préférées</li><li><strong>Format cadeau</strong> : présentation soignée, facile à offrir</li><li><strong>Pratique</strong> : sachets individuels, parfaits au bureau ou en déplacement</li><li><strong>Moments adaptés</strong> : pause, digestion, détente du soir</li><li><strong>Variété</strong> : alternance de notes douces et plus fruitées</li></ul><p>Sélectionné par La Gustothèque pour son équilibre entre plaisir, simplicité d’usage et sens du détail.</p><h3>Le conseil de La Gustothèque</h3><p>Gardez le coffret à portée de main pour “choisir selon l’humeur”. Et pour un cadeau, glissez-y un petit mot avec la recette à tester en premier.</p>",DAMMANN,Uncategorized,Thé,"coffret, infusions, sachets, idee cadeau, degustation, tisane, detente, assortiment, Lagustothèque",true,Title,Default Title,,,,,'8465,0.0,shopify,deny,manual,21.50,,true,true,'3259920084653,https://cdn.shopify.com/s/files/1/0354/5789/2485/files/Captured_ecran2025-12-08a15.55.33.png?v=1765205745,1,"Coffret Dreams d’infusions 20 sachets, assortiment de 5 recettes en boîte cadeau",false,Coffret Dreams d’infusions 20 sachets – Dammann,"Coffret élégant de 20 sachets d’infusions, avec 5 recettes différentes (4 sachets chacune) aux profils doux, fruités ou apaisants. Idéal pour découvrir, offrir ou varier les tasses du quotidien. Sélectionné par La Gustothèque.",4559,,,,,,,kg,,9.75,active,,,,,,,,,,,,,,,,,,,,,,,,,0.6,True,"JSON partiellement réparé, confidence/rationale manquants"
3259920032449,Goût Russe Douchka - Thé noir aux agrumes - Dammann,"<p>Un thé noir aromatisé qui marie la profondeur d’un thé noir d’origine chinoise à des notes d’agrumes franches et lumineuses. La bergamote apporte sa finesse, l’orange arrondit la tasse et le citron signe une finale nette, très désaltérante.</p><p>Conçu pour un quotidien exigeant, il offre une infusion régulière et facile à réussir, avec un profil aromatique équilibré qui accompagne aussi bien un petit-déjeuner qu’une pause de l’après-midi.</p><p><strong>Caractéristiques clés :</strong></p><ul><li><strong>Format pratique</strong> : boîte de 25 sachets Cristal, pour une infusion propre et rapide</li><li><strong>Profil aromatique</strong> : agrumes (bergamote, orange, citron) sur base de thé noir</li><li><strong>Goût</strong> : attaque vive, cœur rond, finale fraîche</li><li><strong>Usage</strong> : excellent nature, et agréable avec un nuage de lait selon les habitudes</li><li><strong>Sélection</strong> : choisi par La Gustothèque pour sa constance et son élégance en tasse</li></ul><p>Pour un résultat optimal, laissez infuser quelques minutes dans une eau frémissante, puis ajustez le temps selon l’intensité souhaitée.</p><h3>Le conseil de La Gustothèque</h3><p>Essayez-le en thé du matin, avec une viennoiserie ou des agrumes frais. Et pour une version glacée, infusez un peu plus fort puis servez sur des glaçons : la note de bergamote ressort magnifiquement.</p>",DAMMANN,"Food, Beverages & Tobacco > Beverages > Tea & Infusions > Tea",Thé,"the noir, gout russe, douchka, bergamote, agrumes, sachets cristal, infusion, dammann, Lagustothèque",true,Title,Default Title,,,,,'3244,0.0,shopify,deny,manual,13.00,,true,true,'3259920032449,https://cdn.shopify.com/s/files/1/0354/5789/2485/files/Captured_ecran2025-12-09a10.47.04.png?v=1765273693,1,Boîte de thé noir Goût Russe Douchka en 25 sachets Cristal,false,"Thé noir Goût Russe Douchka - agrumes, 25 sachets","Thé noir parfumé aux huiles essentielles d’agrumes (bergamote, orange, citron), en boîte de 25 sachets Cristal. Une tasse vive, élégante et régulière, idéale du petit-déjeuner au goûter. Sélection soignée par La Gustothèque.",652,,,,,,,kg,,4.64,active,,,,,,,,,,,,,,,,,,,,,,,,,0.7,True,Accessoire
3259920032449,Goût Russe Douchka - Thé noir aux agrumes - Dammann,"<p>Un thé noir aromatisé qui marie la profondeur d’un thé noir d’origine chinoise à des notes d’agrumes franches et lumineuses. La bergamote apporte sa finesse, l’orange arrondit la tasse et le citron signe une finale nette, très désaltérante.</p><p>Conçu pour un quotidien exigeant, il offre une infusion régulière et facile à réussir, avec un profil aromatique équilibré qui accompagne aussi bien un petit-déjeuner qu’une pause de l’après-midi.</p><p><strong>Caractéristiques clés :</strong></p><ul><li><strong>Format pratique</strong> : boîte de 25 sachets Cristal, pour une infusion propre et rapide</li><li><strong>Profil aromatique</strong> : agrumes (bergamote, orange, citron) sur base de thé noir</li><li><strong>Goût</strong> : attaque vive, cœur rond, finale fraîche</li><li><strong>Usage</strong> : excellent nature, et agréable avec un nuage de lait selon les habitudes</li><li><strong>Sélection</strong> : choisi par La Gustothèque pour sa constance et son élégance en tasse</li></ul><p>Pour un résultat optimal, laissez infuser quelques minutes dans une eau frémissante, puis ajustez le temps selon l’intensité souhaitée.</p><h3>Le conseil de La Gustothèque</h3><p>Essayez-le en thé du matin, avec une viennoiserie ou des agrumes frais. Et pour une version glacée, infusez un peu plus fort puis servez sur des glaçons : la note de bergamote ressort magnifiquement.</p>",,,,"the noir, gout russe, douchka, bergamote, agrumes, sachets cristal, infusion, dammann, Lagustothèque",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0354/5789/2485/files/Captured_ecran2025-12-09a10.47.09.png?v=1765273695,2,Boîte de thé noir Goût Russe Douchka en 25 sachets Cristal,,"Thé noir Goût Russe Douchka - agrumes, 25 sachets","Thé noir parfumé aux huiles essentielles d’agrumes (bergamote, orange, citron), en boîte de 25 sachets Cristal. Une tasse vive, élégante et régulière, idéale du petit-déjeuner au goûter. Sélection soignée par La Gustothèque.",652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,True,Accessoire
3259920045111,Infusion verveine & menthe poivrée - 25 sachets - Dammann,"<p>Une infusion nette et harmonieuse, pensée pour les moments où l’on cherche à se poser. La verveine apporte sa douceur citronnée, tandis que la menthe poivrée dessine une fraîcheur franche, sans masquer l’équilibre du mélange.</p><p>Sans théine, elle se déguste facilement après un repas, en fin de journée, ou dès le matin pour une tasse légère et aromatique.</p><p><strong>Caractéristiques clés :</strong></p><ul><li><strong>Mélange précis</strong> : environ 67 % verveine et 33 % menthe poivrée</li><li><strong>Sans théine</strong> : idéale le soir et au quotidien</li><li><strong>Format</strong> : boîte de 25 sachets Cristal, pratique et régulier</li><li><strong>Goût</strong> : douceur citronnée + fraîcheur mentholée</li><li><strong>Usage</strong> : chaude ou tiédie, elle reste très agréable</li></ul><p>Infusez quelques minutes dans une eau frémissante pour libérer pleinement les notes végétales. Ajustez le temps d’infusion selon l’intensité souhaitée.</p><h3>Le conseil de La Gustothèque</h3><p>Après le dîner, laissez infuser un peu plus longtemps pour une menthe plus expressive. En été, faites-la refroidir et servez-la avec un zeste de citron : très désaltérant.</p>",DAMMANN,"Food, Beverages & Tobacco > Beverages > Tea & Infusions > Infusions",Thé,"infusion, verveine, menthe poivree, sans theine, tisanes, sachets cristal, apres repas, dammann, Lagustothèque",true,Title,Default Title,,,,,'4511,0.0,shopify,deny,manual,11.00,,true,true,'3259920045111,https://cdn.shopify.com/s/files/1/0354/5789/2485/files/Captured_ecran2025-12-09a10.36.39.png?v=1765273100,1,Infusion verveine et menthe poivrée en boîte de 25 sachets Cristal,false,Infusion verveine menthe poivrée - 25 sachets Cristal,"Infusion sans théine associant verveine citronnée et menthe poivrée, en boîte de 25 sachets Cristal. Fraîche, équilibrée et réconfortante après le repas ou en soirée. Une sélection La Gustothèque, simple et juste.",2073,,,,,,,kg,,3.93,active,,,,,,,,,,,,,,,,,,,,,,,,,0.99,False,Règle: INFUSIONS (utilisée 2 fois)
